iteration	evaluations	runtime[s]	Coste-minimo[MIN]	Productividad-maxima[MAX]
1	25	0.006	20350	465
1	25	0.006	19100	452
1	25	0.006	18450	432
2	50	0.019	20350	465
2	50	0.019	20550	469
2	50	0.019	17800	445
2	50	0.019	19450	462
2	50	0.019	20850	472
2	50	0.019	19300	454
2	50	0.019	18150	452
3	75	0.049	20550	469
3	75	0.049	17800	445
3	75	0.049	20850	472
3	75	0.049	18150	452
3	75	0.049	17650	419
3	75	0.049	18900	467
4	100	0.106	17800	445
4	100	0.106	18150	452
4	100	0.106	18900	467
4	100	0.106	17300	424
4	100	0.106	19450	475
5	125	0.127	17800	445
5	125	0.127	18150	452
5	125	0.127	18900	467
5	125	0.127	17300	424
5	125	0.127	19450	475
6	150	0.156	17800	445
6	150	0.156	18150	452
6	150	0.156	18900	467
6	150	0.156	17300	424
6	150	0.156	19450	475
7	175	0.177	18900	467
7	175	0.177	17300	424
7	175	0.177	19450	475
7	175	0.177	19350	474
7	175	0.177	17800	463
7	175	0.177	17750	427
8	200	0.196	18900	467
8	200	0.196	17300	424
8	200	0.196	19450	475
8	200	0.196	19350	474
8	200	0.196	17800	463
8	200	0.196	17750	427
8	200	0.196	18850	464
8	200	0.196	17700	426
8	200	0.196	16950	409
9	225	0.208	17300	424
9	225	0.208	19450	475
9	225	0.208	19350	474
9	225	0.208	17800	463
9	225	0.208	17750	427
9	225	0.208	18850	464
9	225	0.208	17700	426
9	225	0.208	16950	409
9	225	0.208	18900	467
10	250	0.225	19450	475
10	250	0.225	19350	474
10	250	0.225	17800	463
10	250	0.225	18850	464
10	250	0.225	16950	409
10	250	0.225	18900	467
10	250	0.225	17250	427
10	250	0.225	17650	461
10	250	0.225	17500	450
11	275	0.238	17800	463
11	275	0.238	18850	464
11	275	0.238	16950	409
11	275	0.238	17650	461
11	275	0.238	17500	450
11	275	0.238	18900	469
11	275	0.238	19300	480
11	275	0.238	17200	434
11	275	0.238	17400	439
11	275	0.238	20800	482
12	300	0.27	17500	450
12	300	0.27	17200	434
12	300	0.27	17400	439
12	300	0.27	20800	482
12	300	0.27	17650	472
12	300	0.27	16950	423
12	300	0.27	19050	480
13	325	0.314	17500	450
13	325	0.314	17200	434
13	325	0.314	17400	439
13	325	0.314	17650	472
13	325	0.314	16950	423
13	325	0.314	18900	487
14	350	0.33	17500	450
14	350	0.33	17650	472
14	350	0.33	18900	487
14	350	0.33	16800	441
15	375	0.351	17500	450
15	375	0.351	17650	472
15	375	0.351	18900	487
15	375	0.351	16800	441
16	400	0.374	17500	450
16	400	0.374	17650	472
16	400	0.374	18900	487
16	400	0.374	16800	441
16	400	0.374	17750	477
16	400	0.374	16750	428
17	425	0.428	17650	472
17	425	0.428	18900	487
17	425	0.428	16800	441
17	425	0.428	17750	477
17	425	0.428	16750	428
17	425	0.428	17900	479
17	425	0.428	16650	424
17	425	0.428	17150	461
17	425	0.428	16600	418
18	450	0.472	17650	472
18	450	0.472	18900	487
18	450	0.472	17750	477
18	450	0.472	17900	479
18	450	0.472	17150	461
18	450	0.472	16500	442
18	450	0.472	18800	480
19	475	0.515	17650	472
19	475	0.515	18900	487
19	475	0.515	17750	477
19	475	0.515	17900	479
19	475	0.515	17150	461
19	475	0.515	16500	442
19	475	0.515	18800	480
19	475	0.515	16100	431
20	500	0.552	17650	472
20	500	0.552	17750	477
20	500	0.552	17900	479
20	500	0.552	17150	461
20	500	0.552	16500	442
20	500	0.552	18800	480
20	500	0.552	16100	431
20	500	0.552	18900	487
21	525	0.57	17650	472
21	525	0.57	17750	477
21	525	0.57	17900	479
21	525	0.57	17150	461
21	525	0.57	16500	442
21	525	0.57	16100	431
21	525	0.57	18800	487
22	550	0.574	17650	472
22	550	0.574	17900	479
22	550	0.574	17150	461
22	550	0.574	16500	442
22	550	0.574	16100	431
22	550	0.574	18800	487
22	550	0.574	17350	466
22	550	0.574	17750	477
23	575	0.578	17900	479
23	575	0.578	17150	461
23	575	0.578	16500	442
23	575	0.578	16100	431
23	575	0.578	18800	487
23	575	0.578	17350	466
23	575	0.578	17750	477
23	575	0.578	17650	472
23	575	0.578	16450	436
24	600	0.582	17900	479
24	600	0.582	17150	461
24	600	0.582	16100	431
24	600	0.582	18800	487
24	600	0.582	16450	436
24	600	0.582	17650	472
24	600	0.582	17750	477
24	600	0.582	17350	466
24	600	0.582	16950	452
24	600	0.582	16500	442
24	600	0.582	16750	447
25	625	0.587	17150	461
25	625	0.587	16100	431
25	625	0.587	18800	487
25	625	0.587	16450	436
25	625	0.587	16950	452
25	625	0.587	16750	447
25	625	0.587	17750	477
25	625	0.587	16500	442
25	625	0.587	17350	466
25	625	0.587	17650	472
25	625	0.587	16900	448
25	625	0.587	17800	479
26	650	0.592	17150	461
26	650	0.592	16100	431
26	650	0.592	18800	487
26	650	0.592	16950	452
26	650	0.592	16750	447
26	650	0.592	16900	448
26	650	0.592	17800	479
26	650	0.592	17750	477
26	650	0.592	17350	466
26	650	0.592	16500	442
26	650	0.592	17550	472
26	650	0.592	16450	436
27	675	0.595	17150	461
27	675	0.595	16100	431
27	675	0.595	18800	487
27	675	0.595	16950	452
27	675	0.595	16750	447
27	675	0.595	16900	448
27	675	0.595	16500	442
27	675	0.595	17350	466
27	675	0.595	16450	436
27	675	0.595	17550	472
27	675	0.595	17800	479
27	675	0.595	17650	477
28	700	0.6	16100	431
28	700	0.6	18800	487
28	700	0.6	16950	452
28	700	0.6	16750	447
28	700	0.6	16900	448
28	700	0.6	17650	477
28	700	0.6	16500	442
28	700	0.6	17800	479
28	700	0.6	17550	472
28	700	0.6	16450	436
28	700	0.6	17100	466
29	725	0.61	16100	431
29	725	0.61	18800	487
29	725	0.61	16950	452
29	725	0.61	16900	448
29	725	0.61	17650	477
29	725	0.61	17100	466
29	725	0.61	16500	442
29	725	0.61	16450	436
29	725	0.61	17550	472
29	725	0.61	17800	479
29	725	0.61	18400	485
29	725	0.61	16750	447
29	725	0.61	17400	468
30	750	0.616	16100	431
30	750	0.616	18800	487
30	750	0.616	16900	448
30	750	0.616	17100	466
30	750	0.616	18400	485
30	750	0.616	17400	468
30	750	0.616	16500	442
30	750	0.616	16750	447
30	750	0.616	17550	472
30	750	0.616	16450	436
30	750	0.616	17650	477
30	750	0.616	17800	479
30	750	0.616	16950	452
31	775	0.625	16100	431
31	775	0.625	18800	487
31	775	0.625	17100	466
31	775	0.625	18400	485
31	775	0.625	17400	468
31	775	0.625	16500	442
31	775	0.625	16450	436
31	775	0.625	17550	472
31	775	0.625	17800	479
31	775	0.625	17650	477
31	775	0.625	16950	452
31	775	0.625	17050	456
31	775	0.625	16700	451
32	800	0.634	18800	487
32	800	0.634	17100	466
32	800	0.634	18400	485
32	800	0.634	17050	456
32	800	0.634	16700	451
32	800	0.634	16500	442
32	800	0.634	16450	436
32	800	0.634	17800	479
32	800	0.634	16950	452
32	800	0.634	17400	477
32	800	0.634	16100	431
33	825	0.663	18800	487
33	825	0.663	17100	466
33	825	0.663	18400	485
33	825	0.663	17050	456
33	825	0.663	16700	451
33	825	0.663	17400	477
33	825	0.663	16500	442
33	825	0.663	16450	436
33	825	0.663	17800	479
33	825	0.663	16950	452
33	825	0.663	16100	431
34	850	0.674	18800	487
34	850	0.674	18400	485
34	850	0.674	16700	451
34	850	0.674	17400	477
34	850	0.674	16450	436
34	850	0.674	17800	479
34	850	0.674	16950	452
34	850	0.674	16100	431
34	850	0.674	17000	466
34	850	0.674	16500	442
35	875	0.679	18800	487
35	875	0.679	18400	485
35	875	0.679	16700	451
35	875	0.679	17400	477
35	875	0.679	17000	466
35	875	0.679	17800	479
35	875	0.679	16800	457
35	875	0.679	16050	411
35	875	0.679	16100	431
35	875	0.679	16400	446
36	900	0.684	18800	487
36	900	0.684	18400	485
36	900	0.684	16700	451
36	900	0.684	17000	466
36	900	0.684	16800	457
36	900	0.684	16050	411
36	900	0.684	16400	446
36	900	0.684	17800	479
36	900	0.684	16100	431
36	900	0.684	17400	477
36	900	0.684	16350	436
37	925	0.734	18800	487
37	925	0.734	16700	451
37	925	0.734	17000	466
37	925	0.734	16050	411
37	925	0.734	16400	446
37	925	0.734	16350	436
37	925	0.734	17800	479
37	925	0.734	17400	477
37	925	0.734	16800	457
37	925	0.734	18400	485
37	925	0.734	16100	431
38	950	0.74	18800	487
38	950	0.74	16700	451
38	950	0.74	16400	446
38	950	0.74	16350	436
38	950	0.74	16800	457
38	950	0.74	16100	431
38	950	0.74	16050	411
38	950	0.74	17000	466
38	950	0.74	17800	479
38	950	0.74	17400	477
38	950	0.74	18400	485
39	975	0.744	18800	487
39	975	0.744	17000	466
39	975	0.744	16050	411
39	975	0.744	16800	457
39	975	0.744	18400	485
39	975	0.744	17400	477
39	975	0.744	16700	451
39	975	0.744	17800	479
39	975	0.744	16400	446
39	975	0.744	16100	431
39	975	0.744	16350	436
40	1000	0.806	16700	451
40	1000	0.806	16800	457
40	1000	0.806	16350	436
40	1000	0.806	16050	411
40	1000	0.806	17000	466
40	1000	0.806	18400	485
40	1000	0.806	16100	431
40	1000	0.806	16400	446
